,city_code,city_name,length,lane,cond,light,eye,rev,adj
125,441300,惠州市,23100,17,20,0,6,0,37
126,441400,梅州市,9739,5,8,0,16,0,12
127,441500,汕尾市,1060,0,0,0,0,0,2
128,441900,东莞市,35788,74,26,18,121,0,129
129,445100,潮州市,138,0,0,0,1,0,1
130,445200,揭阳市,13660,0,0,0,8,0,19
131,450100,南宁市,16245,2,10,0,6,0,41
132,450200,柳州市,634,3,2,0,0,2,2
133,450800,贵港市,2905,0,6,0,3,0,3
134,451100,贺州市,13225,1,4,0,21,0,24
135,451200,河池市,11922,0,3,0,0,0,16
136,500000,重庆市,43522,69,76,24,80,1,40
137,510100,成都市,39387,52,39,36,46,4,86
138,510500,泸州市,21556,0,24,0,13,0,6
139,510600,德阳市,6783,0,0,0,1,0,7
140,510900,遂宁市,18319,11,10,4,3,0,35
141,511100,乐山市,26043,15,7,1,4,2,38
142,511300,南充市,17313,0,20,0,17,0,39
143,511400,眉山市,14528,6,10,0,4,0,21
144,511700,达州市,24896,4,14,0,8,0,31
145,511900,巴中市,21931,24,13,13,37,5,42
146,513200,阿坝藏族羌族自治州,4207,0,2,0,1,0,0
147,513300,甘孜藏族自治州,18014,3,7,0,5,0,2
148,513400,凉山彝族自治州,36596,26,17,35,90,0,49
149,520300,遵义市,26602,23,25,5,14,0,43
150,520500,毕节市,1838,0,0,0,5,0,3
151,522600,黔东南苗族侗族自治州,3952,0,6,0,2,0,6
152,530100,昆明市,55277,247,219,61,514,12,286
153,530500,保山市,27717,62,35,15,20,11,114
154,530600,昭通市,17582,2,8,0,1,0,10
155,530800,普洱市,18090,5,0,0,0,0,9
156,530900,临沧市,12588,1,9,0,6,0,2
157,532600,文山壮族苗族自治州,11135,0,6,0,13,0,13
158,540100,拉萨市,4112,0,0,0,4,0,2
159,610100,西安市,7870,12,4,8,13,2,16
160,610200,铜川市,5251,0,0,0,1,0,1
161,610400,咸阳市,19398,0,8,4,11,0,49
162,610500,渭南市,26562,27,24,0,0,17,52
163,610600,延安市,43103,1,4,0,15,0,28
164,610700,汉中市,8597,0,2,0,6,0,20
165,610800,榆林市,210,0,6,0,0,0,0
166,610900,安康市,1037,0,1,0,0,0,0
167,620100,兰州市,23153,77,69,49,133,5,71
168,620500,天水市,4286,0,3,0,4,0,6
169,620600,武威市,5726,0,0,0,9,0,7
170,621100,定西市,17637,25,22,0,25,0,7
171,621200,陇南市,4526,0,0,0,0,0,3
172,622900,临夏回族自治州,35884,29,47,29,114,3,105
173,630100,西宁市,3387,0,7,0,4,0,4
174,632500,海南藏族自治州,6204,0,2,0,0,0,0
175,640100,银川市,4612,0,0,0,6,0,13
176,640200,石嘴山市,17520,28,40,13,27,2,53
177,640300,吴忠市,4466,1,0,0,1,0,7
178,640500,中卫市,1207,0,0,0,0,0,0
179,650100,乌鲁木齐市,1496,0,0,0,19,0,2
180,650400,吐鲁番市,31629,78,11,59,42,0,71
181,652300,昌吉回族自治州,42145,0,14,0,28,0,38
182,652900,阿克苏地区,14670,0,2,0,16,0,22
183,653100,喀什地区,9650,0,0,0,30,0,11
184,653200,和田地区,5994,0,0,0,21,0,7
185,654000,伊犁哈萨克自治州,1585,1,0,0,0,0,0
186,654300,阿勒泰地区,18356,17,86,19,139,1,103
187,659003,图木舒克市,1928,0,0,0,4,0,5
