city_code,length,lane,cond,light,eye,rev,adj
640300,4466,1,0,0,1,0,7
640500,1207,0,0,0,0,0,0
650100,1496,0,0,0,19,0,2
650400,31629,78,11,59,42,0,71
652300,42145,0,14,0,28,0,38
652900,14670,0,2,0,16,0,22
653100,9650,0,0,0,30,0,11
653200,5994,0,0,0,21,0,7
654000,1585,1,0,0,0,0,0
654300,18356,17,86,19,139,1,103
659000,1928,0,0,0,4,0,5
